;fiscal_yr;service_id;service_name_en;service_name_fr;service_standard_id;service_standard_en;service_standard_fr;type;gcss_tool_fiscal_yr;channel;channel_comments_en;channel_comments_fr;target_type;target;volume_meeting_target;total_volume;performance;comments_en;comments_fr;target_met;standards_targets_uri_en;standards_targets_uri_fr;performance_results_uri_en;performance_results_uri_fr;org_name_variant;org_id;department_en;department_fr;fy_org_id_service_id
10500;2023-2024;SRV02746;Market Development Program for Turkey and Chicken;Programme de développement des marchés du dindon et du poulet;5052;Send approval or rejection notification letter within 100 business days after the application has been deemed complete;Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet;TML;;EML;;;;0.8;1.0;1.0;1.0;;;Y;https://agriculture.canada.ca/en/agricultural-programs-and-services/market-development-program-turkey-and-chicken;https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-developpement-marches-du-dindon-du-poulet;https://agriculture.canada.ca/en/agricultural-programs-and-services/market-development-program-turkey-and-chicken;https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-developpement-marches-du-dindon-du-poulet;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV02746
10512;2023-2024;SRV02748;Supply Management Processing Investment Fund;Fonds d’investissement pour la transformation des produits sous la gestion de l’offre;5055;Respond to general inquiries made to our email address before the end of the next business day;Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant;TML;;EML;;;;0.8;44.0;48.0;0.9167;;;Y;https://agriculture.canada.ca/en/agricultural-programs-and-services/supply-management-processing-investment-fund/supply-management-processing-investment-fund-step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-dinvestissement-transformation-produits-gestion-loffre/fonds-dinvestissement-transformation-produits-gestion-loffre-etape-4-apres-avoir-presente-votre;https://agriculture.canada.ca/en/agricultural-programs-and-services/supply-management-processing-investment-fund/supply-management-processing-investment-fund-step-3-how-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-dinvestissement-transformation-produits-gestion-loffre/fonds-dinvestissement-transformation-produits-gestion-loffre-etape-3-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV02748
10513;2023-2024;SRV02748;Supply Management Processing Investment Fund;Fonds d’investissement pour la transformation des produits sous la gestion de l’offre;5057;Send approval or rejection notification letter within 100 business days after the application has been deemed complete;Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet;TML;;EML;;;;0.8;29.0;36.0;0.8056;;;Y;https://agriculture.canada.ca/en/agricultural-programs-and-services/supply-management-processing-investment-fund/supply-management-processing-investment-fund-step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-dinvestissement-transformation-produits-gestion-loffre/fonds-dinvestissement-transformation-produits-gestion-loffre-etape-4-apres-avoir-presente-votre;https://agriculture.canada.ca/en/agricultural-programs-and-services/supply-management-processing-investment-fund/supply-management-processing-investment-fund-step-3-how-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-dinvestissement-transformation-produits-gestion-loffre/fonds-dinvestissement-transformation-produits-gestion-loffre-etape-3-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV02748
10514;2023-2024;SRV02748;Supply Management Processing Investment Fund;Fonds d’investissement pour la transformation des produits sous la gestion de l’offre;5058;Send you a payment within 30 business days of receipt of a duly completed and documented claim;Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée;TML;;ONL;;;;0.8;58.0;63.0;0.9206;;;Y;https://agriculture.canada.ca/en/agricultural-programs-and-services/supply-management-processing-investment-fund/supply-management-processing-investment-fund-step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-dinvestissement-transformation-produits-gestion-loffre/fonds-dinvestissement-transformation-produits-gestion-loffre-etape-4-apres-avoir-presente-votre;https://agriculture.canada.ca/en/agricultural-programs-and-services/supply-management-processing-investment-fund/supply-management-processing-investment-fund-step-3-how-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-dinvestissement-transformation-produits-gestion-loffre/fonds-dinvestissement-transformation-produits-gestion-loffre-etape-3-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV02748
10515;2023-2024;SRV02747;The Poultry and Egg-On Farm Investment Program;Programme d’investissement à la ferme pour la volaille et les œufs;5060;Respond to general inquiries made to our email address before the end of the next business day;Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant;TML;;EML;;;;0.8;470.0;562.0;0.8363;;;Y;https://agriculture.canada.ca/en/programs/poultry-egg-farm-investment/step-6-after-apply;https://agriculture.canada.ca/fr/programmes/investissement-ferme-volaille-oeufs/etape-6-apres-avoir-presente-demande;https://agriculture.canada.ca/en/programs/poultry-egg-farm-investment/step-4-how-apply;https://agriculture.canada.ca/fr/programmes/investissement-ferme-volaille-oeufs/etape-4-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV02747
10516;2023-2024;SRV02747;The Poultry and Egg-On Farm Investment Program;Programme d’investissement à la ferme pour la volaille et les œufs;5061;Process your application within 100 business days;De traiter votre demande de projet dans un délai de 100 jours ouvrables;TML;;EML;;;;0.8;189.0;901.0;0.2098;;;N;https://agriculture.canada.ca/en/programs/poultry-egg-farm-investment/step-6-after-apply;https://agriculture.canada.ca/fr/programmes/investissement-ferme-volaille-oeufs/etape-6-apres-avoir-presente-demande;https://agriculture.canada.ca/en/programs/poultry-egg-farm-investment/step-4-how-apply;https://agriculture.canada.ca/fr/programmes/investissement-ferme-volaille-oeufs/etape-4-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV02747
10517;2023-2024;SRV02747;The Poultry and Egg-On Farm Investment Program;Programme d’investissement à la ferme pour la volaille et les œufs;5062;Process your payment within 30 business days upon receipt of a completed claim form and signed Contribution Agreement;De verser votre remboursement dans les 30 jours ouvrables suivant la réception d'un entente de contribution signée (projets rétroactifs) ou d'une formulaire de demande de remboursement dûment rempli (projets non rétroactifs);TML;;ONL;;;;0.8;1491.0;1515.0;0.9842;;;Y;https://agriculture.canada.ca/en/programs/poultry-egg-farm-investment/step-6-after-apply;https://agriculture.canada.ca/fr/programmes/investissement-ferme-volaille-oeufs/etape-6-apres-avoir-presente-demande;https://agriculture.canada.ca/en/programs/poultry-egg-farm-investment/step-4-how-apply;https://agriculture.canada.ca/fr/programmes/investissement-ferme-volaille-oeufs/etape-4-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV02747
10520;2023-2024;SRV03058;Wine Sector Support Program;Programme d'aide au secteur du vin;5602;Send approval or rejection notification letter within 100 business days after the application has been deemed complete;Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet;TML;;EML;;;;0.8;457.0;457.0;1.0;;;Y;https://agriculture.canada.ca/en/programs/wine-sector-support/step-6-after-apply;https://agriculture.canada.ca/fr/programmes/aide-au-secteur-du-vin/etape-6-apres-avoir-presente-demande;https://agriculture.canada.ca/en/programs/wine-sector-support/step-4-how-apply;https://agriculture.canada.ca/fr/programmes/aide-secteur-vin/etape-4-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV03058
10526;2023-2024;3685;Grants and Contributions Programs;Programmes de subventions et contributions;8744;ACOA will render a payment decision within 25 days of receiving a signed and completed claim.;L’APECA rendra une décision de paiement dans les 25 jours suivant la réception d’une demande de paiement signée et remplie.;TML;;EML;;;;0.9;4999.0;5467.0;0.9144;;;Y;www.canada.ca/en/atlantic-canada-opportunities/corporate/service.html;www.canada.ca/fr/promotion-economique-canada-atlantique/organisation/service.html;;;acoa-apeca;12.0;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;2023-2024_12_3685
10527;2023-2024;3685;Grants and Contributions Programs;Programmes de subventions et contributions;8745;ACOA will issue a written notification of a funding decision (i.e., approval and rejection) within 75 days of receiving a signed and completed application as per the program’s requirements.;L'APECA enverra un avis écrit concernant sa décision à l’égard d’une demande de financement (c'est-à-dire approbation ou rejet) dans les 75 jours suivant la réception d'une demande signée et remplie conformément aux exigences du programme.;TML;;EML;;;;0.9;697.0;1124.0;0.6201;;;N;www.canada.ca/en/atlantic-canada-opportunities/corporate/service.html;www.canada.ca/fr/promotion-economique-canada-atlantique/organisation/service.html;;;acoa-apeca;12.0;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;2023-2024_12_3685
10528;2023-2024;3685;Grants and Contributions Programs;Programmes de subventions et contributions;8746;ACOA will acknowledge receipt of an application within 10 days of receiving a signed application for assistance.;L’APECA accusera réception d’une demande dans les dix jours suivant la réception d’une demande d’aide signée.;TML;;EML;;;;0.9;1240.0;1327.0;0.9344;;;Y;www.canada.ca/en/atlantic-canada-opportunities/corporate/service.html;www.canada.ca/fr/promotion-economique-canada-atlantique/organisation/service.html;;;acoa-apeca;12.0;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;2023-2024_12_3685
10572;2023-2024;851;Grant and Contribution Programs;Programmes de subventions et contributions;8357;An acknowledgment of receipt and a request for additional information, if required, will be sent within 15 business days of the filing of an application for funding under QEDP or the REGI.;Un accusé de réception et une demande d'informations complémentaires, si requis, sera transmis dans les 15 jours ouvrables suivant le dépôt d'une demande de financement pour les programmes PDEQ et CERI.;TML;;ONL;EML, ONL;ONL;;0.9;493.0;517.0;0.9536;;;Y;https://ced.canada.ca/en/about-ced/service-standards-and-results/;https://dec.canada.ca/fr/a-propos-de-dec/normes-de-service-et-resultats/;Not applicable;Not applicable;ced-dec;141.0;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;2023-2024_141_851
10573;2023-2024;851;Grant and Contribution Programs;Programmes de subventions et contributions;8359;The decision in the case of a complete application for funding under the QEDP or the REGI will be made within 75 business days.;La décision relative à une demande de financement complète liée aux programmes PDEQ et CERI sera rendue dans un délai de 75 jours ouvrables.;TML;;ONL;EML, ONL;ONL;;0.9;423.0;448.0;0.9442;;;Y;https://ced.canada.ca/en/about-ced/service-standards-and-results/;https://dec.canada.ca/fr/a-propos-de-dec/normes-de-service-et-resultats/;Not applicable;Not applicable;ced-dec;141.0;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;2023-2024_141_851
10574;2023-2024;851;Grant and Contribution Programs;Programmes de subventions et contributions;8361;Complete claims associated with the QEDP, the REGI or the CFP will be processed in under 25 business days.;Les demandes de réclamation complètes pour les programmes PDEQ, CERI et PDC seront traitées en moins de 25 jours ouvrables.;TML;;ONL;EML, ONL;ONL;;0.9;2221.0;2467.0;0.9003;;;Y;https://ced.canada.ca/en/about-ced/service-standards-and-results/;https://dec.canada.ca/fr/a-propos-de-dec/normes-de-service-et-resultats/;Not applicable;Not applicable;ced-dec;141.0;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;2023-2024_141_851
10575;2023-2024;3585;Business Information Services;Services d'informations aux entreprises;8418;An acknowledgement of receipt by e-mail or online will be sent within 24 hours of the request.;Un accusé de réception par courriel ou en ligne sera envoyé dans un délai de 24 heures suivant la demande.;TML;;ONL;Email, Online, Telephone;Email, Online, Telephone;;0.9;2028.0;2158.0;0.9398;This is a new service offered directly by CED employees since October 1, 2023. The satisfaction rate obtained from the feedback form sent to customers is 96%.;Il s'agit d’un nouveau service offert directement par les employés de DEC depuis le 1er octobre 2023.  Le taux de satisfaction obtenu du formulaire de rétroaction transmis à la clientèle est de 96 %.;Y;https://ced.canada.ca/en/about-ced/service-standards-and-results/;https://dec.canada.ca/fr/a-propos-de-dec/normes-de-service-et-resultats/;Not applicable;Not applicable;ced-dec;141.0;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;2023-2024_141_3585
10576;2023-2024;3585;Business Information Services;Services d'informations aux entreprises;8419;Requests for information about the referral service will be answered within a maximum of 2 working days.;Les demandes d'informations relatives au service d'aiguillage seront répondues dans un délai maximal de 2 jours ouvrables.;TML;;ONL;Email, Online, Telephone;Email, Online, Telephone;;0.9;1091.0;1173.0;0.9301;This is a new service offered directly by CED employees since October 1, 2023. The satisfaction rate obtained from the feedback form sent to customers is 96%.;Il s'agit d’un nouveau service offert directement par les employés de DEC depuis le 1er octobre 2023.  Le taux de satisfaction obtenu du formulaire de rétroaction transmis à la clientèle est de 96 %.;Y;https://ced.canada.ca/en/about-ced/service-standards-and-results/;https://dec.canada.ca/fr/a-propos-de-dec/normes-de-service-et-resultats/;Not applicable;Not applicable;ced-dec;141.0;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;2023-2024_141_3585
10577;2023-2024;3585;Business Information Services;Services d'informations aux entreprises;8420;Requests for information relating to the market information service will be answered within a maximum of 5 working days.;Les demandes d'informations relative au service d'information de marché seront répondues dans un délai maximal de 5 jours ouvrables.;TML;;ONL;Email, Online, Telephone;Email, Online, Telephone;;0.9;803.0;882.0;0.9104;This is a new service offered directly by CED employees since October 1, 2023. The satisfaction rate obtained from the feedback form sent to customers is 96%.;Il s'agit d’un nouveau service offert directement par les employés de DEC depuis le 1er octobre 2023.  Le taux de satisfaction obtenu du formulaire de rétroaction transmis à la clientèle est de 96 %.;Y;https://ced.canada.ca/en/about-ced/service-standards-and-results/;https://dec.canada.ca/fr/a-propos-de-dec/normes-de-service-et-resultats/;Not applicable;Not applicable;ced-dec;141.0;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;2023-2024_141_3585
10607;2023-2024;1113;Formal Review Request Low Complexity (Objections);Demande de vérification officielle Faible complexité  (Oppositions);STAN00001495;Low complexity - Our goal is to resolve a low-complexity objection within 180 calendar days from the date the objection was received by the CRA.;Faible complexité: Notre objectif est de résoudre les oppositions de faible complexité dans un délai de 180 jours civils à partir de la date à laquelle l’opposition a été reçue par l’ARC.;TML;;OTH;This standard is applicable to the Online, Postal Mail, and Fax channels. However, total annual volume and total volume satisfying the standard are not available by channel.;Cette norme s’applique aux canaux postaux, en ligne ou par télécopieur. Cependant, le volume annuel total et le volume total qui respecte la norme ne sont pas disponibles par canal.;;0.8;20324.0;33528.0;0.6062;"1. The real-time peformance information is a timed update on a monthly basis that indicates the current average level of service in days for the month broken down by Income Tax objections and GST/HST objections.

2. This service standard was introduced in 2017-2018  and modified in 2020-2021. It is continuously reviewed for potential improvement.

3. This figure is the closing inventory at the end of fiscal year 2022-2023.

4. This figure is the average days it took to resolve an objection from the date the objection was received at the CRA in the 2022-2023 fiscal year.";"1. L’information sur le rendement en temps réel est une mise à jour périodique mensuelle qui indique le niveau moyen actuel de service en jours pour le mois, ventilé par les oppositions en matière d'impôt sur le revenu et les oppositions de la TPS/TVH. 

2. Cette norme de service a été introduite en 2017-2018 et modifiée en 2020-2021. Il est continuellement examiné pour une amélioration potentielle. 

3. Ce chiffre représente l’inventaire de clôture à la fin de l’exercice 2022-2023, soit le nombre d’oppositions en attente de résolution. 

4. Ce chiffre représente le nombre moyen de jours nécessaires pour régler une opposition à compter de la date à laquelle l’opposition a été reçue à l’ARC au cours de l’exercice 2022-2023.";N;https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/complaints-disputes/complexity-level-processing-time.html;https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/complaints-disputes/complexity-level-processing-time.html;https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/complaints-disputes/complexity-level-processing-time.html;https://www.canada.ca/fr/agence-revenu/services/a-propos-agence-revenu-canada-arc/plaintes-differends/complexite-niveau-temps-traitement.html;cra-arc;46.0;Canada Revenue Agency;Agence du revenu du Canada;2023-2024_46_1113
