;fiscal_yr;service_id;service_name_en;service_name_fr;service_standard_id;service_standard_en;service_standard_fr;type;gcss_tool_fiscal_yr;channel;channel_comments_en;channel_comments_fr;target_type;target;volume_meeting_target;total_volume;performance;comments_en;comments_fr;target_met;standards_targets_uri_en;standards_targets_uri_fr;performance_results_uri_en;performance_results_uri_fr;org_name_variant;org_id;department_en;department_fr;fy_org_id_service_id
11891;2023-2024;2914;Canada Greener Homes Initiative;Initiative canadienne pour des maisons plus vertes;5957;Acknowledging receipt of proposal (5 business days);Accusé de réception de la proposition (5 jours ouvrables);TML;;ONL;;;;;0.0;0.0;;percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2914
11892;2023-2024;2914;Canada Greener Homes Initiative;Initiative canadienne pour des maisons plus vertes;5958;Providing funding decision (105 calendar days);Fournir une décision de financement (105 jours civils);TML;;ONL;;;;;0.0;0.0;;percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2914
11893;2023-2024;2914;Canada Greener Homes Initiative;Initiative canadienne pour des maisons plus vertes;5959;Issuing payment (30 business days);Émission de paiement (30 jours ouvrables);TML;;ONL;;;;;0.0;0.0;;percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2914
11894;2023-2024;3606;Multi-Partner Research Initiative;Initiative de recherche multipartenaire;8608;Acknowledging receipt of proposal (5 business days);Accusé de réception de la proposition (5 jours ouvrables);TML;;EML;;;;;54.0;54.0;1.0;;;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3606
11895;2023-2024;3606;Multi-Partner Research Initiative;Initiative de recherche multipartenaire;8609;Providing funding decision (100 calendar days);Fournir une décision de financement (100 jours ouvrables);TML;;EML;;;;;21.0;21.0;1.0;;;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3606
11896;2023-2024;3606;Multi-Partner Research Initiative;Initiative de recherche multipartenaire;8610;Issuing payment (30 business days);Émission de paiement (30 jours ouvrables);TML;;EML;;;;;9.0;9.0;1.0;;;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3606
11920;2023-2024;3613;Enabling Small Modular Reactor Program;Programme facilitant les petits réacteurs modulaires;4017;Issuing payment (30 business days);Émission de paiement (30 jours ouvrables);TML;;EML;No payments issued in 2023-24;Aucun paiement émis en 2023-24;;;0.0;0.0;;No payments issued in 2023-24;Aucun paiement émis en 2023-24;;https://natural-resources.canada.ca/transparency/reporting-and-accountability/plans-and-performance-reports/natural-resources-canadas-service-standards-for-transfer-payment-programs/22265;https://ressources-naturelles.canada.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/normes-de-service-pour-les-programmes-de-paiement-de-transfert-propre-au-ministere-de/22266?_gl=1*rot7tl*_ga*MTc0MDI4NTAyMi4xNjc2NTYwOTk4*_ga_C2N57Y7DX5*MTczMDI5MjgyOS4xNDguMS4xNzMwMjkzNjg2LjAuMC4w;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3613
11942;2023-2024;3242;SmartDriver;Conducteur averti;5856;Acknowledge receipt of general inquiries as soon as possible and no later than 3 business days.;ccuser réception des demandes générales le plus rapidement possible, sans dépasser 3 jours ouvrables.;TML;;EML;;;;;0.0;0.0;;Volume not provided;Volume non communiqué;;https://natural-resources.canada.ca/energy-efficiency/transportation-alternative-fuels/greening-freight-programs/smartdriver-training-series/21048;https://ressources-naturelles.canada.ca/efficacite-energetique/efficacite-energetique-transports-carburants-remplacement/programme-transport-ecoenergetique-marchandises/serie-de-formations-conducteur-averti/21049?_gl=1*1k59g4a*_ga*OTgzNzQxMDIuMTY3MzYzMzYxMw..*_ga_C2N57Y7DX5*MTczMTUyOTQ1OS40Ni4xLjE3MzE1Mjk4NDMuMC4wLjA.;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3242
11943;2023-2024;3242;SmartDriver;Conducteur averti;5857;Reply to general inquiries and SmartDriver technical questions as soon as possible and no later than 5 business days;Répondre aux demandes générales  et  aux questions techniques relatives à Conducteur averti le plus rapidement possible, sans dépasser 5 jours ouvrables.;TML;;EML;;;;;0.0;0.0;;Volume not provided;Volume non communiqué;;https://natural-resources.canada.ca/energy-efficiency/transportation-alternative-fuels/greening-freight-programs/smartdriver-training-series/21048;https://ressources-naturelles.canada.ca/efficacite-energetique/efficacite-energetique-transports-carburants-remplacement/programme-transport-ecoenergetique-marchandises/serie-de-formations-conducteur-averti/21049?_gl=1*1k59g4a*_ga*OTgzNzQxMDIuMTY3MzYzMzYxMw..*_ga_C2N57Y7DX5*MTczMTUyOTQ1OS40Ni4xLjE3MzE1Mjk4NDMuMC4wLjA.;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3242
11944;2023-2024;3242;SmartDriver;Conducteur averti;5858;Respond to Contact Us  inquiries no later than 7 business days.;Répondre aux demandes de la section communiquez avec nous sans dépasser 7 jours ouvrables.;TML;;EML;;;;;0.0;0.0;;Volume not provided;Volume non communiqué;;https://natural-resources.canada.ca/energy-efficiency/transportation-alternative-fuels/greening-freight-programs/smartdriver-training-series/21048;https://ressources-naturelles.canada.ca/efficacite-energetique/efficacite-energetique-transports-carburants-remplacement/programme-transport-ecoenergetique-marchandises/serie-de-formations-conducteur-averti/21049?_gl=1*1k59g4a*_ga*OTgzNzQxMDIuMTY3MzYzMzYxMw..*_ga_C2N57Y7DX5*MTczMTUyOTQ1OS40Ni4xLjE3MzE1Mjk4NDMuMC4wLjA.;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3242
11989;2023-2024;2614;Contributions in support of Accommodation Measures for Trans Mountain Expansion;Contributions à l'appui des mesures d'accommodement du projet d'agrandissement du réseau de Trans Mountain;5286;Acknowledging receipt of proposal (5 business days);Accusé de réception de la proposition (5 jours ouvrables);TML;;ONL;;;;;0.0;0.0;;No new contribution agreements have been signed since 2022-2023.  All 2023-2024 has been transfered to ECCC;Aucun nouvel accord de contribution n'a été signé depuis 2022-2023.  La totalité de la période 2023-2024 a été transférée à l'ECCC.;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2614
11990;2023-2024;2614;Contributions in support of Accommodation Measures for Trans Mountain Expansion;Contributions à l'appui des mesures d'accommodement du projet d'agrandissement du réseau de Trans Mountain;5287;Providing funding decision (60 business days);Fournir une décision de financement (60 jours ouvrables);TML;;ONL;;;;;0.0;0.0;;No new contribution agreements have been signed since 2022-2023.  All 2023-2024 has been transfered to ECCC;Aucun nouvel accord de contribution n'a été signé depuis 2022-2023.  La totalité de la période 2023-2024 a été transférée à l'ECCC.;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2614
11996;2023-2024;1519;Earth Observation Data Service;Service de données d'observation de la Terre;5783;98% up time;98 % de temps de fonctionnement;OTH;;OTH;This service provides tailor-made support to its stakeholders  and external clients.;Ce service fournit un soutien sur mesure à ses parties prenantes et à ses clients externes.;;;71.0;71.0;1.0;;;;http://;http://;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_1519
12038;2023-2024;2550;Contributions Program of the Office of the Privacy Commissioner of Canada.;Programme des contributions du Commissariat à la protection de la vie privée du Canada.;5321;Advise applicants of our funding decisions within 90 business days of the close of a call for proposals.;Informer les candidats de nos décisions de financement dans les 90 jours ouvrables suivant la clôture d'un appel à propositions.;TML;;EML;All applications were received via email this year, although we also allow people to submit via mail or Fax.;Cette année, toutes les candidatures ont été reçues par courriel, mais nous offrons également la possibilité de les envoyer par courrier ou par télécopie.;;;61.0;68.0;0.8971;In most cases, we responded to organizations within the 90 business days. Due to a filing error, 7 applicants received a response outside of the standard.;Dans la plupart des cas, nous avons répondu aux organisations dans les 90 jours ouvrables. En raison d'une erreur de classement, 7 candidats ont reçu une réponse en dehors de la norme.;;https://www.priv.gc.ca/en/opc-actions-and-decisions/research/funding-for-privacy-research-and-knowledge-translation/;https://www.priv.gc.ca/fr/mesures-et-decisions-prises-par-le-commissariat/recherche/financement-pour-les-projets-de-recherche-et-d-application-des-connaissances/;Not applicable;Not applicable;opc-cpvp;256.0;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;2023-2024_256_2550
12064;2023-2024;955;Townsite Management;Gestion des lotissements urbains;4001;"Business Licenses in National Parks Successful applicants will recieve their business license or a reason for its refusal within 15 working days of receipt of the application and all documents required. 

Overweight Vehicle Permits: Successful application will receive their permit or a reason for its denial within 48 hours.";"Les candidats retenus recevront leur permis d'exploitation ou un avis de refus dans les 15 jours ouvrables suivant la réception de la demande et de tous les documents requis. 

Permis pour véhicules en surpoids : Les candidats retenus recevront leur permis ou la raison de son refus dans les 48 heures.";TML;;EML;Met target 84% of time. Response times have been delayed as some field units has experienced high volumes of applications. Parks Canada has implemented a resolution and anticipates meeting the service standard in 2023-2024.;Objectif atteint 84 % du temps. Les délais de réponse ont été retardés car certaines unités de gestion ont reçu des volumes élevés de demandes. Parcs Canada a mis en œuvre une résolution et prévoit respecter la norme de service en 2023-2024.;;;2500.0;2100.0;1.1905;Met target 84% of time. Response times have been delayed as some field units has experienced high volumes of applications. Parks Canada has implemented a resolution and anticipates meeting the service standard in 2023-2024.;Objectif atteint 84 % du temps. Les délais de réponse ont été retardés car certaines unités de gestion ont reçu des volumes élevés de demandes. Parcs Canada a mis en œuvre une résolution et prévoit respecter la norme de service en 2023-2024.;;https://www.pc.gc.ca/en/agence-agency/dp-pd/ns-ss/ns-ss01;https://www.pc.gc.ca/en/agence-agency/dp-pd/ns-ss/ns-ss01;;;pc;263.0;Parks Canada;Parcs Canada;2023-2024_263_955
12331;2023-2024;8;Email;Courriel (Yes et Legacy);10;Request fulfillment duration: 20 days;Délai de traitement des demandes: 20 jours;TML;;ONL;;;;;;1620.0;;Business Volume That Met Service Standard Target: Data collection and measurement is not possible at this time as the ITSM tool has not been configured to collect this information.;Business Volume That Met Service Standard Target: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil de TI (GSTI) n’a pas été configuré à des fins de collecte d’information.;;https://service.ssc-spc.gc.ca/en/service/email#servicestandards-01;https://service.ssc-spc.gc.ca/fr/service/courriel#normes-01;;;ssc-spc;305.0;Shared Services Canada;Services partagés Canada;2023-2024_305_8
12416;2023-2024;3663;Marine Pilotage Licence or Pilotage Certificate;Brevet de pilote ou certificat de pilotage maritime;8680;Marine Pilotage Licence or Certificate: Process a complete application within 5 business days;Brevet de pilote ou certificat de pilotage maritime : Le délai de traitement d’une demande est de cinq jours ouvrables.;TML;;EML;All Channels;All Channels;;;115.0;119.0;0.9664;Count of pilotage licences and pilotage certificates issued and reissued in 2023-24.;Count of pilotage licences and pilotage certificates issued and reissued in 2023-24.;;Yes;Oui;No;Non;tc;138.0;Transport Canada;Transports Canada;2023-2024_138_3663
12453;2023-2024;SRV03480;Licensing for aviation personnel;Licences pour le personnel en aviation;STAN00006017;Issuance of an RPAS pilot certificate. Immediate once exam results and or flight review results confirmed.;Délivrance d'un certificat de pilote de SATP. Immédiatement après la confirmation des résultats de l'examen et/ou de la revue en vol.;ACY;;ONL;All Channels;All Channels;;;17627.0;17627.0;1.0;;;;No;Non;No;Non;tc;138.0;Transport Canada;Transports Canada;2023-2024_138_SRV03480
12529;2023-2024;SRV03533;Small Vessel Compliance Program (SVCP);Programme de conformité des petits bâtiments (PCPB);8673;Small Vessel Compliance Program: You will receive your decal within 45 working days of Transport Canada receiving all your documents and completing a technical review;Programme de conformité des petits bâtiments : Vous recevrez votre vignette dans les 45 jours ouvrables suivant la réception par Transports Canada de tous vos documents et la réalisation de l'examen technique.;TML;;ONL;All Channels;All Channels;;;496.0;602.0;0.8239;This service standard does not have a target.;This service standard does not have a target.;;Yes;Oui;No;Non;tc;138.0;Transport Canada;Transports Canada;2023-2024_138_SRV03533
12556;2023-2024;SRV03546;Delegated Statutory Inspection Program (DSIP) exemption request applications received;Demandes de dérogation au Programme de Délégation des Inspections Obligatoires (PDIO) reçues;8676;Delegated Statutory Inspection Program Exemption: 30 business days between receiving an application, together with all supporting documentation, and sending the record of decision to the authorized representative;Exemption du Programme de délégation des inspections obligatoires : 30 jours ouvrables entre la réception d’une demande, accompagnée de toutes les pièces justificatives, et l’envoi du compte rendu de décision au représentant autorisé;TML;;EML;All Channels;All Channels;;;15.0;17.0;0.8824;This service standard does not have a target.;This service standard does not have a target.;;Yes;Oui;No;Non;tc;138.0;Transport Canada;Transports Canada;2023-2024_138_SRV03546
12586;2023-2024;SRV03551;Aircraft registration;Immatriculation d'aéronef;STAN00006147;De-registration of an RPAS. Immediate once aircraft information received.;Désenregistrement d'un SATP. Immédiate dès réception des informations sur l'aéronef.;ACY;;ONL;All Channels;All Channels;;;1953.0;1953.0;1.0;;;;No;Non;No;Non;tc;138.0;Transport Canada;Transports Canada;2023-2024_138_SRV03551
